4,10,18,22,41,45
4,10,30,36,40,53
4,5,9,16,22,39
18,21,31,39,50,53
10,25,26,29,37,46
3,11,12,24,33,40
8,16,34,37,47,50
1,3,26,31,37,41
11,18,22,28,51,52
11,18,22,49,50,51
14,21,40,42,48,51
5,8,24,28,34,52
1,20,34,38,45,47
7,17,29,51,52,55
1,11,31,43,48,54
11,22,28,44,48,49
1,9,18,21,35,40
2,8,23,26,42,47
22,37,38,47,51,55
12,13,30,38,40,47
13,17,20,27,36,54
1,2,7,22,23,46
1,7,11,24,29,30
5,9,21,31,43,53
15,17,34,37,39,45
5,14,27,43,45,53
5,10,21,26,43,51
10,38,41,43,45,48
1,16,18,30,31,44
7,13,21,43,52,53
1,34,39,40,42,50
