8,36,42,43,44,55
21,25,26,29,41,51
11,14,18,20,22,43
11,13,22,36,46,49
13,20,33,47,53,54
12,19,21,23,28,54
1,19,21,31,50,55
4,11,20,38,52,53
1,4,6,8,24,35
1,3,22,27,38,40
8,19,24,31,35,55
34,46,50,51,52,55
8,12,17,27,38,55
3,7,8,18,21,26
8,17,22,31,34,49
22,31,35,36,38,42
8,19,27,34,46,51
4,6,7,13,18,26
2,7,10,22,32,40
3,10,13,40,49,52
6,12,38,41,46,55
13,17,35,38,42,48
13,27,32,48,49,51
6,25,29,34,49,54
12,20,33,38,40,52
9,14,18,20,27,43
1,5,7,23,35,42
2,23,32,44,51,52
16,32,45,50,52,53
15,17,21,24,34,46
7,34,37,43,52,54
2,5,18,31,37,45
9,17,29,32,38,52
20,28,30,40,45,52
10,14,17,27,29,40
22,32,39,46,48,49
9,31,39,41,47,48
11,14,15,24,34,53
13,15,21,26,34,35
1,12,23,43,48,52
6,7,16,21,34,50
6,9,26,27,34,47
9,13,28,33,50,53
2,4,19,32,35,39
1,10,20,37,48,51
9,13,21,28,50,54
10,24,47,48,52,55
7,9,10,17,25,53
4,6,26,33,52,55
3,7,16,37,39,51
1,7,10,14,28,29
3,5,10,18,44,49
4,9,12,15,22,38
2,3,4,19,41,42
8,17,24,34,39,48
12,18,20,28,35,52
14,35,37,47,48,50
9,15,17,21,26,36
10,16,17,28,37,42
11,14,25,44,46,47
14,22,32,37,43,48
12,20,26,33,40,44
11,16,24,34,47,52
1,23,29,37,51,55
13,22,33,41,46,47
8,23,30,34,38,47
5,8,9,20,36,50
6,23,26,37,44,46
4,13,36,40,43,52
1,21,33,46,47,53
3,15,27,29,37,48
3,13,19,30,38,44
4,23,36,45,47,50
14,20,24,27,41,44
20,27,36,43,45,47
16,26,33,34,41,43
17,29,35,40,51,52
25,27,42,51,54,55
6,10,20,22,50,52
26,31,32,39,45,55
13,20,32,37,43,49
1,4,36,42,45,54
2,6,19,29,34,48
12,15,32,44,46,51
23,33,37,43,45,46
1,8,20,25,35,53
5,8,24,38,50,51
1,10,20,41,42,50
2,3,6,34,35,36
7,9,13,22,27,42
1,5,25,32,51,52
5,12,25,39,40,53
13,24,39,43,45,52
4,14,31,42,47,49
5,6,19,20,40,45
22,34,40,47,49,51
3,12,22,25,37,39
4,18,22,25,33,48
16,23,25,26,29,40
3,11,13,31,33,45
12,23,42,44,51,52
9,15,23,25,27,34
5,34,36,38,47,50
10,11,19,28,42,47
2,16,31,37,38,48
3,4,30,34,36,49
24,40,44,46,47,49
8,11,23,43,44,48
7,12,29,39,46,55
4,13,14,23,33,50
13,33,36,38,45,50
1,11,12,28,46,54
2,12,15,16,27,28
8,9,16,20,50,53
2,11,14,35,43,51
7,23,26,31,35,53
7,13,23,34,38,40
10,11,25,39,46,55
4,14,18,27,47,50
10,17,27,32,35,41
3,36,38,43,51,53
1,14,23,27,44,50
23,28,29,36,38,41
3,18,40,41,46,47
1,14,24,28,40,46
4,6,8,18,39,43
15,16,19,31,33,46
26,27,35,36,47,54
1,14,21,36,48,53
13,14,21,23,30,41
19,24,30,34,40,44
22,24,35,43,45,54
1,3,19,33,34,51
7,9,13,22,44,47
1,11,22,28,34,42
13,30,32,35,45,52
4,11,18,25,33,45
2,9,12,24,41,53
8,28,38,39,41,45
6,10,19,23,25,28
9,18,23,24,48,52
7,11,32,35,42,51
17,18,30,40,51,55
1,34,35,36,42,43
22,26,28,37,39,48
10,14,16,18,37,49
17,33,36,46,50,52
7,10,12,33,52,54
13,28,41,42,47,51
12,34,39,44,49,55
6,11,14,21,30,32
6,21,24,41,50,53
17,18,28,40,49,54
4,7,22,33,40,49
7,17,31,43,45,49
18,24,32,33,51,53
6,23,34,48,50,55
